Title,Genre,Artist,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Toxicity,rock,System of a Down,0snQkGI5qnAmohLE7jTsTn,Toxicity,Toxicity,84.0,N,2001-09-04,0.413,0.873,-4.151,0.0536,0.000264,0.00249,0.204,0.48,8.0,1.0,116.68,218933.0
Losing My Religion,rock,R.E.M.,31AOj9sFz2gM0O3hMARRBx,Losing My Religion,Out Of Time (25th Anniversary Edition),83.0,N,1991-03-12,0.666,0.855,-5.051,0.0295,0.179,1.2e-06,0.0987,0.803,9.0,0.0,125.639,268427.0
Somewhere Only We Know,rock,Keane,6uNP8aOZphmhsYlOwRhNh1,Somewhere Only We Know,Somewhere Only We Know,60.0,N,2004-01-01,0.456,0.644,-5.317,0.0253,0.0794,1.07e-06,0.0796,0.381,9.0,1.0,172.233,238787.0
Feel Good Inc.,hip hop,Gorillaz,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Demon Days,82.0,N,2005-05-23,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,6.0,1.0,138.559,222640.0
Stronger,hip hop,Kanye West,0j2T0R9dR9qdJYsB7ciXhf,Stronger,Graduation,79.0,N,2007-09-11,0.617,0.716,-7.858,0.136,0.0056,0.0,0.408,0.496,1.0,1.0,104.014,311867.0
Heartless,hip hop,Kanye West,4EWCNWgDS8707fNSZ1oaA5,Heartless,808s & Heartbreak,84.0,N,2008-11-24,0.79,0.647,-5.983,0.136,0.0515,0.0,0.248,0.654,10.0,0.0,87.999,211000.0
Clint Eastwood,hip hop,Gorillaz,7yMiX7n9SBvadzox8T5jzT,Clint Eastwood,Gorillaz,69.0,N,2001,0.663,0.694,-8.627,0.171,0.0253,0.0,0.0698,0.525,10.0,0.0,167.953,340920.0
Hey Ya!,hip hop,OutKast,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,Speakerboxxx/The Love Below,82.0,N,2003,0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,0.965,4.0,0.0,79.526,235213.0
Paper Planes,hip hop,M.I.A.,1ixbwbeBi5ufN4noUKmW5a,Paper Planes,Kala,75.0,N,2007-08-20,0.447,0.848,-6.175,0.222,0.033,7.46e-05,0.65,0.485,2.0,1.0,172.253,205200.0
I Gotta Feeling,hip hop,Black Eyed Peas,2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),74.0,N,2009-01-01,0.744,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,0.0,1.0,127.966,289133.0
